Time,DMSO,TTX
0.0,0.03892852113857746,0.0
0.04,0.03967032827043592,0.009281770950781114
0.08,0.03703586257448405,0.008174017575632086
0.12,0.038024139192850456,0.009777184575496964
0.16,0.03554090561523778,0.004738383317641759
0.2,0.03723410965922043,0.006837169613432949
0.24,0.037364507023610834,0.007735765940560366
0.28,0.034024708907507924,0.01121372810970382
0.32,0.03452637412852461,0.008600834153422693
0.36,0.03732204820324848,0.006913973215045674
0.4,0.03301797122901559,0.006997589993114769
0.44,0.03322662303990516,0.009971684741386768
0.48,0.03481237181100933,0.006238035491054931
0.52,0.032179158787498156,0.007732642495195251
0.56,0.03226622899069553,0.006421728228765035
0.6,0.031857162416767094,0.006612848499716226
0.64,0.029688248420956735,0.008270448004550538
0.68,0.02951909327095388,0.010290526994986492
0.72,0.028973999457239132,0.006815307944627057
0.76,0.029016514133150366,0.007494568882293062
0.8,0.028445980839022198,0.008390532280912522
0.84,0.026187194674599477,0.0027707539464103324
0.88,0.026898940886888097,0.008299234128819504
0.92,0.026561515395606573,0.0033404175222813744
0.96,0.027841585220116278,0.0071103043761582135
1.0,0.0265421063776165,0.007548450495032073
1.04,0.026573752454573153,0.004777522794262405
1.08,0.027021581273386497,0.009490854855540905
1.12,0.025582801723262126,0.010349780260226121
1.16,0.02672309559929248,0.006755188144898602
1.2,0.02560305438406625,0.008630634312473195
1.24,0.025404944436503745,0.008724563454421392
1.28,0.027902165119936095,0.004460975817438521
1.32,0.025285849787328337,0.007585649425666391
1.36,0.023910021774711215,0.006815028969582393
1.4,0.022318523793629055,0.0071268924726671685
1.44,0.024188203481222748,0.004204795735848893
1.48,0.025630719639967176,0.0022976278930598106
1.52,0.024036548805817015,0.009979611411236086
1.56,0.026703556676778865,0.007512079868096529
1.6,0.023501037521778925,0.004649700174365232
1.64,0.0226995992381347,0.00828313924043808
1.68,0.022641442497697246,0.011178619531939694
1.72,0.024906863209906382,0.00448280795861186
1.76,0.023055139221298187,0.004263260318759179
1.8,0.023053430151302807,0.006923532410359865
1.84,0.02422981515907571,0.006979180031066669
1.88,0.024418777344154843,0.005125314533763049
1.92,0.024238379444327683,0.00534060282656307
1.96,0.024292891093430812,0.008921045150589757
2.0,0.021399389806572983,0.007759975079975872
2.04,0.021070519600824872,0.006643170632975247
2.08,0.023410714312133193,0.009007076494185095
2.12,0.019699448826848615,0.007529026236769521
2.16,0.020054950083368023,0.008107686766903498
2.2,0.02099281776179105,0.010552836101551416
2.24,0.023474628553214222,0.010688474479578873
2.28,0.018647837637564835,0.012363491028419596
2.32,0.020372543872435016,0.009268552652964354
2.36,0.02298043888996326,0.006395659591117996
2.4,0.02152702384560319,0.007785700969353941
2.44,0.022305895132410238,0.011428010358271665
2.48,0.021837250128168974,0.009487921328151485
2.52,0.02086723038094345,0.008744100782289327
2.56,0.020964309129603682,0.012492548956996204
2.6,0.020076598364581817,0.010594599421599257
2.64,0.02216337592146865,0.008090252411775752
2.68,0.019858468075431547,0.010444397051774528
2.72,0.02062460093694572,0.011660589132195795
2.76,0.018346832307296185,0.008709495554434822
2.8,0.018388052499596234,0.009253338775127122
2.84,0.020799493369986582,0.007285007917260495
2.88,0.020383782504828682,0.010344058770174403
2.92,0.02145159346701075,0.011882936011783569
2.96,0.018456128554569115,0.007426973208578299
3.0,0.017547141789194455,0.009550392815624219
3.04,0.01802052840720153,0.007590083954341026
3.08,0.01864804571338894,0.009343380190280793
3.12,0.020437247399594405,0.009884059533127949
3.16,0.01892573641825881,0.006897455547811235
3.2,0.016501690433986735,0.009199568465614781
3.24,0.01785345131451662,0.010865065184179004
3.28,0.01645622463810972,0.006224612600833886
3.32,0.01823644750964316,0.014798210945933291
3.36,0.01685126310905113,0.009428527116187859
3.4,0.017917092119896248,0.0055306724524445
3.44,0.017789271481423206,0.007145536073018714
3.48,0.01591410693371563,0.008408229318140366
3.52,0.018767789273854276,0.011313419083287228
3.56,0.017999579905999357,0.006879772263629457
3.6,0.015975981613148966,0.008003289087364222
3.64,0.017730163844495838,0.012102636449048442
3.68,0.016083144981437605,0.00932537013182191
3.72,0.016359720087988232,0.005054601474074662
3.76,0.014478444490417863,0.008335664036113305
3.8,0.015016001593344482,0.008565891377939807
3.84,0.015487662649850669,0.00821106150369645
3.88,0.013741703838658881,0.004336063528332125
3.92,0.015259898874970531,0.007447564344270116
3.96,0.018439620816706217,0.011346453065852984
4.0,0.01559482728618065,0.005831841029342226
4.04,0.015796782965998866,0.005392617348475202
4.08,0.016395898679516723,0.008665226692242747
4.12,0.01603782334486411,0.01012789150711166
4.16,0.01373930604391159,0.00799394535035899
4.2,0.016624813427853772,0.009737166223405438
4.24,0.017828664364172134,0.009001998794037779
4.28,0.01382573601216979,0.0090417766186322
4.32,0.0156518250709191,0.008697388808820324
4.36,0.016489197861364723,0.010153724475935088
4.4,0.01575854434931207,0.0042338949532328115
4.44,0.015229322973015042,0.006523678240337904
4.48,0.017082158015918017,0.008109296781021597
4.52,0.016113765715031755,0.006987195240979661
4.56,0.01662956509837192,0.007141373841166145
4.6,0.01587684711468064,0.01276916613557205
4.64,0.014369897786137033,0.009461683455669603
4.68,0.01953466159095163,0.012843814910412766
4.72,0.017078856405896296,0.009361782941793474
4.76,0.016347638530935182,0.010052032213730551
4.8,0.014793881835366788,0.009520785167626309
4.84,0.017312167905607505,0.007824930911254585
4.88,0.016166536455701742,0.010443580774318192
4.92,0.015221684013693509,0.010345623864003756
4.96,0.01534854684445157,0.008675949287205064
5.0,0.013956649061328003,0.008257668372744956
5.04,0.01639968554898381,0.006863225782487401
5.08,0.013889479270450162,0.009612621733560082
5.12,0.01384146566778539,0.00889874533168786
5.16,0.01463922468178092,0.004300263460081927
5.2,0.014819374019613316,0.00840562077944093
5.24,0.013853835164696892,0.009949039727950429
5.28,0.014130128943187508,0.006919853854617274
5.32,0.014582902617578535,0.00644161893038084
5.36,0.01485616305583226,0.009285890725891234
5.4,0.015175854728095087,0.009063336122620906
5.44,0.013129498458751976,0.007549955335086876
5.48,0.012326946763044,0.0055386374664073935
